// Reference=MNI
// Rae, 2014: Stop > Go, Activations (a)
// Subjects=17
54	42	8
-50	36	2
-54	34	-2
48	34	0
-48	32	2
-54	32	2
-50	30	0
50	28	2
58	26	18
-54	24	12
56	24	16
-50	22	2
-32	22	-14
32	22	-8
-30	20	-12
54	10	-12
52	6	-12
-60	4	-10
-52	2	-10
-40	0	-14
-42	-2	-12
52	-12	0
50	-16	2
52	-16	-2
66	-20	6
60	-20	4
-54	-28	4
-58	-30	6
-58	-36	8
60	-46	12
66	-46	26
-62	-48	20
26	-50	-6
-26	-52	-8
-62	-54	16
26	-56	-2
-24	-56	-6
-48	-58	14
-24	-62	-6
22	-70	-6
-20	-72	-8
-20	-76	-10
-10	-80	28
16	-80	34
14	-80	44
14	-80	40
-18	-80	-10
2	-82	24
4	-82	30
-8	-84	30
-2	-84	22
8	-84	28
-12	-90	28
-10	-90	16
	
